,a1,a2,label,a1_id,a2_id,#id,transition,annotator,y
0,primary can't not create carbocation.,"The carbocation is already a tertiary carbocation, and is already very stable, and no rearrangement will lead to a more stable carbocation. ",a2,arg17001,arg16727,arg17001_arg16727,wr,69338,1
1,"The carbocation is already a tertiary carbocation, and is already very stable, and no rearrangement will lead to a more stable carbocation. ",Molecule C has its carbocation already at its most stable state.,a1,arg16727,arg17028,arg16727_arg17028,rr,70565,-1
2,because 3 is a tertiary carbocation which is very stable,"The carbocation is already a tertiary carbocation, and is already very stable, and no rearrangement will lead to a more stable carbocation. ",a2,arg17047,arg16727,arg17047_arg16727,rr,70772,1
3,"The carbocation is already a tertiary carbocation, and is already very stable, and no rearrangement will lead to a more stable carbocation. ",The carbocation is already on a tertiary C which is the most stable it can get.,a1,arg16727,arg17165,arg16727_arg17165,rr,25430,-1
4,The carbocation is most stable where it is located.,"The carbocation is already a tertiary carbocation, and is already very stable, and no rearrangement will lead to a more stable carbocation. ",a2,arg17182,arg16727,arg17182_arg16727,wr,24005,1
5,"The carbocation is already a tertiary carbocation, and is already very stable, and no rearrangement will lead to a more stable carbocation. ",The carbocation is very stable. It is tertiary.,a1,arg16727,arg22574,arg16727_arg22574,rr,54abbad204d18f45d3061e003afa75,-1
6,this is because it is a tertiary carbocation and it is very stable,"The carbocation is already a tertiary carbocation, and is already very stable, and no rearrangement will lead to a more stable carbocation. ",a2,arg22591,arg16727,arg22591_arg16727,rr,98f0728081dc90afd48fae10a15f51,1
7,"The carbocation is already a tertiary carbocation, and is already very stable, and no rearrangement will lead to a more stable carbocation. ","1, because a methyl shift from C2 would in turn produce a primary carbocation and would therefore not be beneficial.",a1,arg16727,arg22666,arg16727_arg22666,rr,5d7aae8e31da9f70dd77eafd60cc05,-1
8,The carbocation is tertiary so it is already very stable and does not need a rearrangement for increased stability,"The carbocation is already a tertiary carbocation, and is already very stable, and no rearrangement will lead to a more stable carbocation. ",a2,arg22734,arg16727,arg22734_arg16727,rr,fabaa82e33456539e8d35a7911d43e,1
9,"The carbocation is already a tertiary carbocation, and is already very stable, and no rearrangement will lead to a more stable carbocation. ",no available rearrangements ,a1,arg16727,arg22918,arg16727_arg22918,wr,c435b8113c23b9ac673b688f54f732,-1
10,The carbocation is already very stable as it is attached to 3 other carbons (a tertiary carbocation).,"The carbocation is already a tertiary carbocation, and is already very stable, and no rearrangement will lead to a more stable carbocation. ",a2,arg22933,arg16727,arg22933_arg16727,rr,7a927541bbd72ea35d0dfc99657734,1
11,"The carbocation is already a tertiary carbocation, and is already very stable, and no rearrangement will lead to a more stable carbocation. ",A rearrangement would result in steric hindrance making the carbocation less stable,a1,arg16727,arg23377,arg16727_arg23377,rr,2a3cd35ce04abff5ecdead8df80035,-1
