,a1,a2,label,a1_id,a2_id,#id,transition,annotator,y
0,right-hand rule,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",a2,arg111845,arg49950,arg111845_arg49950,rr,ad3b8e552df69a50fe67b42f7b70bd,1
1,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",Left hand rule,a1,arg49950,arg111882,arg49950_arg111882,rr,a66134f9d8778e1bb21588175be50b,-1
2,because,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",a2,arg112183,arg49950,arg112183_arg49950,wr,f349c1115dbb19cfba5055fe7167a5,1
3,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",because,a1,arg49950,arg112224,arg49950_arg112224,wr,68396f693f5ef60a6de443aaa93ce1,-1
4,RHR2,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",a2,arg112281,arg49950,arg112281_arg49950,rr,30cf3bab881f2520b066ce70779c07,1
5,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",right hand rule 2,a1,arg49950,arg112295,arg49950_arg112295,rr,a25d5a396a170eac7848f8b2679bd9,-1
6,Right hand rule,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",a2,arg112437,arg49950,arg112437_arg49950,rr,a4efbb59c3f3cc914065e25300dae6,1
7,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",Right hand rule.,a1,arg49950,arg112452,arg49950_arg112452,rr,efe22e5cde3a259024cb04dae6bcbd,-1
8,I don’t understand this do they point outside? Why is this in French lol,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",a2,arg112603,arg49950,arg112603_arg49950,rr,242c1cada04de03c4ec299fb86d3b2,1
9,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",cause,a1,arg49950,arg112723,arg49950_arg112723,rr,c529098d40ac1fccc2b019d768162c,-1
10,right hand rule,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",a2,arg112778,arg49950,arg112778_arg49950,rr,11f1a8875488de92d068d9568ca86d,1
11,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",yftug,a1,arg49950,arg113075,arg49950_arg113075,rr,09f2667b54e6c85fd61b43f44c0040,-1
12,rationale,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",a2,arg113105,arg49950,arg113105_arg49950,rr,bbf98bce1ae428ce06b721a79747bd,1
13,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",right hand rule,a1,arg49950,arg113139,arg49950_arg113139,rr,587c8fe7fc6ab1fda9cbbe1f163394,-1
14,right hand rule,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",a2,arg113144,arg49950,arg113144_arg49950,rr,b4a4743ac53c4aa6e8a7e1d32c0a87,1
15,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",rhr 2,a1,arg49950,arg113274,arg49950_arg113274,wr,1a77d13663dc9cec4c5551b950d439,-1
16,Right hand rule,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",a2,arg113359,arg49950,arg113359_arg49950,rr,6328c94d6385bd2045bfd557ecca43,1
17,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",right hand rule,a1,arg49950,arg113518,arg49950_arg113518,rr,9fde76b0adcdb6c7131f5aae3f590c,-1
18,jnkjlk,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",a2,arg113578,arg49950,arg113578_arg49950,rr,9f491c35f85672afcb4b136e462cb3,1
19,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",right hand rule,a1,arg49950,arg113604,arg49950_arg113604,rr,3cb1bcf49a5156777764cd4cade4e0,-1
20,RHR 2,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",a2,arg113629,arg49950,arg113629_arg49950,rr,e265bb42a02be17d0b3a55e05483b2,1
